device,field,value
1,Pdc0,0.854924117826537
1,idc0,0.427462058913268
1,u_q0,0.775606494386127
1,u_d0,0.317692514476868
1,ig_q0,0.61909072872589
1,ig_d0,0.275152347501885
1,ig_qc0,0.677188115000021
1,ig_dc0,0.019960000823398
1,ig_qc0_p,0.829382670813613
1,ig_dc0_p,0.0244459086414286
1,is_q0,0.666762055970939
1,is_d0,0.158818524043053
1,ucap_q0,0.775558823058882
1,ucap_d0,0.317808848300327
1,u_qc0,0.838149132248296
1,u_dc0,-1.38777878078145e-17
1,u_qc0_p,1.02651885118241
1,u_dc0_p,-1.38777878078145e-17
1,vc_qc0,0.825670812187308
1,vc_dc0,-0.102109857834186
1,vc_qc0_p,1.01123609268413
1,vc_dc0_p,-0.125058524700944
1,vc_q0,0.80276308327244
1,vc_d0,0.218472298701442
1,vg_q0,0.746853078178487
1,vg_d0,0.379051282654453
1,vg_qc0,0.834798755935957
1,vg_dc0,0.0676788914983553
1,vg_qc0_p,1.02241549497664
1,vg_dc0_p,0.0828893752640784
1,is_qc0,0.677206973355072
1,is_dc0,-0.105762366185093
1,is_qc0_p,0.829405767487245
1,is_dc0_p,-0.129531915571432
1,w0_pu,1
1,w0,314.159265358979
1,etheta0,-0.388759267058585
2,Pdc0,0.855119095358055
2,idc0,0.427559547679027
2,u_q0,0.778743787166335
2,u_d0,0.303966409947864
2,ig_q0,0.652693936341761
2,ig_d0,0.195131726429735
2,ig_qc0,0.678969627937551
2,ig_dc0,-0.0555518634709458
2,ig_qc0_p,0.831564569647171
2,ig_dc0_p,-0.0680368598822866
2,is_q0,0.698306418542871
2,is_d0,0.0783270002271147
2,ucap_q0,0.778698174684133
2,ucap_d0,0.304083214674066
2,u_qc0,0.835964989952784
2,u_dc0,1.38777878078145e-17
2,u_qc0_p,1.02384383410759
2,u_dc0_p,0
2,vc_qc0,0.812217940767159
2,vc_dc0,-0.102752998618123
2,vc_qc0_p,0.994759757406815
2,vc_dc0_p,-0.125846208077653
2,vc_q0,0.793984369293116
2,vc_d0,0.199612082167569
2,vg_q0,0.757925226650678
2,vg_d0,0.36884554012918
2,vg_qc0,0.840162237044003
2,vg_dc0,0.068008066520697
2,vg_qc0_p,1.02898439095653
2,vg_dc0_p,0.0832925306844817
2,is_qc0,0.678988437149402
2,is_dc0,-0.180946609142482
2,is_qc0_p,0.83158760613292
2,is_dc0_p,-0.221613431542953
2,w0_pu,1
2,w0,314.159265358979
2,etheta0,-0.372141748212219
