rms_real,rms_imag_folded,emt_real,emt_imag,distance
-1.977654156560786358e-01,0.000000000000000000e+00,-1.979078805698359089e-01,0.000000000000000000e+00,1.424649137572731039e-04
-8.002465155020905829e-01,0.000000000000000000e+00,-7.999213763833590285e-01,0.000000000000000000e+00,3.251391187315544329e-04
-8.003646899485276078e-01,0.000000000000000000e+00,-7.998289461650833765e-01,0.000000000000000000e+00,5.357437834442313473e-04
-1.032421326285087426e+00,8.108725795698035199e-01,-9.721215526304221033e-01,8.064139863988588619e-01,6.046438419324110664e-02
-1.032421326285087426e+00,-8.108725795698035199e-01,-9.721215526304221033e-01,-8.064139863988588619e-01,6.046438419324110664e-02
-1.046583565573157237e+00,-1.708135837250779332e-02,-1.048480447346759714e+00,-5.683750186168146784e-02,3.980137064969988675e-02
-1.046583565573157459e+00,1.708135837242252819e-02,-1.048480447346759714e+00,5.683750186168146784e-02,3.980137064978504086e-02
-1.188571572592708403e+00,-3.842443960593300289e-04,-1.187848036219068426e+00,-3.868515274107531049e-04,7.235410707858759300e-04
-1.188571572592708625e+00,3.842443960309083195e-04,-1.187848036219068426e+00,3.868515274107531049e-04,7.235410707862003233e-04
-1.624285767516263634e+00,0.000000000000000000e+00,-1.586183395607429603e+00,0.000000000000000000e+00,3.810237190883403180e-02
-1.995156493055883384e+00,1.737524284446294587e+00,-1.917499406394534311e+00,1.610428469013267749e+00,1.489428394026188207e-01
-1.995156493055883384e+00,-1.737524284446294587e+00,-1.917499406394534311e+00,-1.610428469013267749e+00,1.489428394026188207e-01
-2.414069397065328193e+00,0.000000000000000000e+00,-2.769936333989700294e+00,0.000000000000000000e+00,3.558669369243721015e-01
-2.832034702343003474e+00,-9.660937210981330736e-01,-1.639135752199588181e+00,-1.050715556435707798e+00,1.195896634441774076e+00
-2.832034702343003918e+00,9.660937210981046519e-01,-1.639135752199588181e+00,1.050715556435707798e+00,1.195896634441776296e+00
-3.333333336159589599e+00,0.000000000000000000e+00,-3.331666640113999822e+00,0.000000000000000000e+00,1.666696045589777242e-03
-6.240362777978646136e+00,2.200632069263903645e+01,-6.495081629515289556e+00,2.466460873902081019e+01,2.670463823170868611e+00
-6.240362777978646136e+00,-2.200632069263903645e+01,-6.495081629515289556e+00,-2.466460873902081019e+01,2.670463823170868611e+00
-9.946798611144474833e+00,0.000000000000000000e+00,-9.952902269019666903e+00,0.000000000000000000e+00,6.103657875192070037e-03
-1.045971868726614318e+01,0.000000000000000000e+00,-1.046247660659779299e+01,0.000000000000000000e+00,2.757919331649816286e-03
-1.047190582396441982e+01,0.000000000000000000e+00,-1.046673445665496160e+01,0.000000000000000000e+00,5.171367309458219097e-03
-1.047196249197107853e+01,0.000000000000000000e+00,-1.046668487833585459e+01,0.000000000000000000e+00,5.277613635223943334e-03
-1.047313669569368599e+01,1.762794251561672354e-03,-1.046752691057934648e+01,1.875567198166901801e-03,5.610918531448415118e-03
-1.047313669569368599e+01,-1.762794251561672354e-03,-1.046752691057934648e+01,-1.875567198166901801e-03,5.610918531448415118e-03
-1.325226301855107280e+01,1.926589409198641079e+00,-1.312345771105249170e+01,2.021947251644571786e+00,1.602620521388234687e-01
-1.325226301855107458e+01,-1.926589409198641079e+00,-1.312345771105249170e+01,-2.021947251644571786e+00,1.602620521388249120e-01
